position,team,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference
1,Real Madrid CF,38,,26,9,3,87,70,25,45
2,FC Barcelona,38,,25,7,6,82,86,38,48
3,Club Atlético de Madrid,38,,18,16,4,70,51,27,24
4,Sevilla FC,38,,19,13,6,70,54,34,20
5,Villarreal CF,38,,18,6,14,60,63,49,14
6,Real Sociedad de Fútbol,38,,16,8,14,56,56,48,8
7,Granada CF,38,,16,8,14,56,52,45,7
8,Getafe CF,38,,14,12,12,54,43,37,6
9,Valencia CF,38,,14,11,13,53,46,53,-7
10,CA Osasuna,38,,13,13,12,52,46,54,-8
11,Athletic Club,38,,13,12,13,51,41,38,3
12,Levante UD,38,,14,7,17,49,47,53,-6
13,Real Valladolid CF,38,,9,15,14,42,32,43,-11
14,SD Eibar,38,,11,9,18,42,39,56,-17
15,Real Betis Balompié,38,,10,11,17,41,48,60,-12
16,Deportivo Alavés,38,,10,9,19,39,34,59,-25
17,RC Celta de Vigo,38,,7,16,15,37,37,49,-12
18,CD Leganés,38,,8,12,18,36,30,51,-21
19,RCD Mallorca,38,,9,6,23,33,40,65,-25
20,RCD Espanyol de Barcelona,38,,5,10,23,25,27,58,-31
