Season,Team,G,GS,Comb,Total,Ast,Sck,SFTY,PDef,Int,Yds,Avg,Lng,TDs,FF,Name
2018,Denver Broncos,7,            2,9,9,0,0.0,--,3,1,0,0.0,0,0,0,Adam Jones
2017,Cincinnati Bengals,9,            9,23,19,4,0.0,--,4,1,0,0.0,0,0,0,Adam Jones
2016,Cincinnati Bengals,16,            16,66,54,12,0.0,--,7,1,2,2.0,2,0,1,Adam Jones
2015,Cincinnati Bengals,14,            14,62,53,9,1.0,--,12,3,14,4.7,14,0,1,Adam Jones
2014,Cincinnati Bengals,16,            3,63,51,12,0.0,--,11,3,23,7.7,12,0,0,Adam Jones
2013,Cincinnati Bengals,16,            13,56,44,12,0.0,0,12,3,60,20.0,60T,1,1,Adam Jones
2012,Cincinnati Bengals,16,            5,40,33,7,1.0,0,9,--,--,0.0,--,--,1,Adam Jones
2011,Cincinnati Bengals,8,            7,28,26,2,0.0,--,6,--,--,0.0,--,--,0,Adam Jones
2010,Cincinnati Bengals,5,            1,14,11,3,0.0,0,3,1,10,10.0,10,0,1,Adam Jones
2008,Dallas Cowboys,9,            6,31,26,5,0.0,--,7,--,--,0.0,--,--,1,Adam Jones
2006,Tennessee Titans,15,            15,62,50,12,1.0,0,8,4,130,32.5,83T,1,1,Adam Jones
2005,Tennessee Titans,15,            13,53,44,9,0.0,0,10,--,--,0.0,--,--,0,Adam Jones
2017,New England Patriots,3,            0,2,23,11.5,16,0,--,--,--,--,--,--,--,Kenny Britt
2017,Cleveland Browns,9,            4,18,233,12.9,38,2,--,--,--,--,--,--,--,Kenny Britt
2016,Los Angeles Rams,15,            15,68,"1,002",14.7,66,5,--,--,--,--,--,2,1,Kenny Britt
2015,St. Louis Rams,16,            14,36,681,18.9,60T,3,--,--,--,--,--,--,--,Kenny Britt
2014,St. Louis Rams,16,            13,48,748,15.6,63T,3,2,14,7.0,12,0,--,--,Kenny Britt
2013,Tennessee Titans,12,            3,11,96,8.7,15,0,--,--,--,--,--,--,--,Kenny Britt
2012,Tennessee Titans,14,            11,45,589,13.1,46,4,--,--,--,--,--,2,1,Kenny Britt
2011,Tennessee Titans,3,            3,17,289,17.0,80T,3,--,--,--,--,--,1,1,Kenny Britt
2010,Tennessee Titans,12,            7,42,775,18.5,80T,9,--,--,--,--,--,1,1,Kenny Britt
2009,Tennessee Titans,16,            6,42,701,16.7,57,3,--,--,--,--,--,1,1,Kenny Britt
2009,Cincinnati Bengals,8,            0,12,236,19.7,73,2,--,--,--,--,--,--,--,Chris Henry
2008,Cincinnati Bengals,12,            1,19,220,11.6,22,2,--,--,--,--,--,--,--,Chris Henry
2007,Cincinnati Bengals,8,            2,21,343,16.3,52T,2,--,--,--,--,--,--,--,Chris Henry
2006,Cincinnati Bengals,13,            4,36,605,16.8,71,9,--,--,--,--,--,--,--,Chris Henry
2005,Cincinnati Bengals,14,            5,31,422,13.6,47,6,--,--,--,--,--,2,1,Chris Henry
