code	Set Name	Release Date	Block	Total Cards
RTR	Return to Ravnica	2012-10-05	Return to Ravnica	274
GTC	Gatecrash	2013-02-01	Return to Ravnica	249
DGM	Dragon's Maze	2013-05-03	Return to Ravnica	156
M14	Magic 2014	2013-07-19	Core Set	249
THS	Theros	2013-09-27	Theros	249
BNG	Born of the Gods	2014-02-07	Theros	165
JOU	Journey into Nyx	2014-05-02	Theros	165
M15	Magic 2015	2014-07-18	Core Set	284
KTK	Khans of Tarkir	2014-09-26	Khans of Tarkir	269
FRF	Fate Reforged	2015-01-23	Khans of Tarkir	185
DTK	Dragons of Tarkir	2015-03-27	Khans of Tarkir	264
ORI	Magic Origins	2015-07-17	Core Set	288
BFZ	Battle for Zendikar	2015-10-02	Battle for Zendikar	299
OGW	Oath of the Gatewatch	2016-01-22	Battle for Zendikar	186
SOI	Shadows over Innistrad	2016-04-08	Shadows over Innistrad	297
EMN	Eldritch Moon	2016-07-22	Shadows over Innistrad	208
KLD	Kaladesh	2016-09-30	Kaladesh	274
AER	Aether Revolt	2017-01-20	Kaladesh	194
AKH	Amonkhet	2017-04-28	Amonkhet	287
HOU	Hour of Devastation	2017-07-14	Amonkhet	209
XLN	Ixalan	2017-09-29	Ixalan	289
RIX	Rivals of Ixalan	2018-01-19	Ixalan	205
DOM	Dominaria	2018-04-27	Unknown	280
M19	Core Set 2019	2018-07-13	Core Set	314
GRN	Guilds of Ravnica	2018-10-05	Guilds of Ravnica	273
RNA	Ravnica Allegiance	2019-01-25	Guilds of Ravnica	273
WAR	War of the Spark	2019-05-03	Guilds of Ravnica	311
M20	Core Set 2020	2019-07-12	Core Set	344
ELD	Throne of Eldraine	2019-10-04	Unknown	397
THB	Theros Beyond Death	2020-01-24	Unknown	358
