titles,ratings,total_votes
Winter Is Coming,9.1,"38,172"
The Kingsroad,8.8,"28,935"
Lord Snow,8.7,"27,356"
"Cripples, Bastards, and Broken Things",8.8,"25,959"
The Wolf and the Lion,9.1,"27,020"
A Golden Crown,9.2,"26,744"
You Win or You Die,9.2,"27,230"
The Pointy End,9.0,"25,313"
Baelor,9.6,"35,780"
Fire and Blood,9.5,"31,405"
The North Remembers,8.8,"24,543"
The Night Lands,8.5,"23,183"
What Is Dead May Never Die,8.8,"22,899"
Garden of Bones,8.8,"22,141"
The Ghost of Harrenhal,8.8,"22,323"
The Old Gods and the New,9.1,"23,329"
A Man Without Honor,8.9,"22,730"
The Prince of Winterfell,8.8,"22,458"
Blackwater,9.7,"39,193"
Valar Morghulis,9.4,"27,753"
Valar Dohaeris,8.8,"24,536"
"Dark Wings, Dark Words",8.6,"22,201"
Walk of Punishment,8.9,"22,409"
And Now His Watch Is Ended,9.6,"30,569"
Kissed by Fire,9.0,"22,832"
The Climb,8.8,"22,698"
The Bear and the Maiden Fair,8.7,"21,945"
Second Sons,9.0,"22,525"
The Rains of Castamere,9.9,"85,854"
Mhysa,9.1,"25,506"
Two Swords,9.1,"29,013"
The Lion and the Rose,9.7,"45,474"
Breaker of Chains,8.9,"24,447"
Oathkeeper,8.8,"23,466"
First of His Name,8.7,"22,707"
The Laws of Gods and Men,9.7,"41,809"
Mockingbird,9.1,"25,309"
The Mountain and the Viper,9.7,"45,536"
The Watchers on the Wall,9.6,"38,227"
The Children,9.7,"37,585"
The Wars to Come,8.5,"25,803"
The House of Black and White,8.5,"22,737"
High Sparrow,8.5,"22,017"
Sons of the Harpy,8.7,"22,618"
Kill the Boy,8.6,"22,905"
"Unbowed, Unbent, Unbroken",8.0,"25,978"
The Gift,9.0,"25,036"
Hardhome,9.9,"86,397"
The Dance of Dragons,9.5,"37,755"
Mother's Mercy,9.1,"36,610"
The Red Woman,8.5,"35,592"
Home,9.4,"41,898"
Oathbreaker,8.7,"29,789"
Book of the Stranger,9.1,"32,061"
The Door,9.7,"63,040"
Blood of My Blood,8.4,"29,602"
The Broken Man,8.6,"28,738"
No One,8.4,"32,759"
Battle of the Bastards,9.9,"183,936"
The Winds of Winter,9.9,"127,779"
Dragonstone,8.6,"45,938"
Stormborn,8.9,"39,568"
The Queen's Justice,9.2,"41,262"
The Spoils of War,9.8,"78,445"
Eastwatch,8.8,"39,336"
Beyond the Wall,9.1,"57,501"
The Dragon and the Wolf,9.5,"57,028"
Winterfell,7.6,"121,011"
A Knight of the Seven Kingdoms,7.9,"119,094"
The Long Night,7.5,"199,155"
The Last of the Starks,5.5,"151,814"
The Bells,6.0,"176,805"
The Iron Throne,4.1,"218,157"
