title,year,imdb_rating,director,video_link
"Crazy, Stupid, Love.",2011,7.4,"Glenn Ficarra, John Requa",https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love Actually,2003,7.6,Richard Curtis,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Shakespeare in Love,1998,7.1,John Madden,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
P.S. I Love You,2007,7.0,Richard LaGravenese,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"I Love You, Man",2009,7.0,John Hamburg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love,2015,6.1,Gaspar Noé,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Punch-Drunk Love,2002,7.3,Paul Thomas Anderson,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Faa yeung nin wa,2000,8.1,Kar-Wai Wong (as Kar Wai Wong),https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"Love, Rosie",2014,7.2,Christian Ditter,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
From Russia with Love,1963,7.4,Terence Young,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
From Paris with Love,2010,6.5,Pierre Morel,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"Love, Simon",2018,7.6,Greg Berlanti,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
I Love You Phillip Morris,2009,6.6,"Glenn Ficarra, John Requa",https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Eat Pray Love,2010,5.8,Ryan Murphy,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
To Rome with Love,2012,6.3,Woody Allen,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Stuck in Love.,2012,7.2,Josh Boone,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
A Lot Like Love,2005,6.6,Nigel Cole,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Jeux d'enfants,2003,7.6,Yann Samuell,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Wristcutters: A Love Story,2006,7.3,Goran Dukic,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
The Love Guru,2008,3.8,Marco Schnabel,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Fucking Åmål,1998,7.5,Lukas Moodysson,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"New York, I Love You",2008,6.2,"Fatih Akin, Yvan Attal |",https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
American Pie Presents: The Book of Love,2009,4.8,John Putch,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love,2015,6.1,Gaspar Noé,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Capitalism: A Love Story,2009,7.4,Michael Moore,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Endless Love,2014,6.3,Shana Feste,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Down with Love,2003,6.2,Peyton Reed,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Sea of Love,1989,6.8,Harold Becker,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Everyone Says I Love You,1996,6.7,Woody Allen,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love and Death,1975,7.7,Woody Allen,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love,2015,6.1,Gaspar Noé,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
"I Love You, Beth Cooper",2009,5.3,Chris Columbus,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
The One I Love,2014,7.1,Charlie McDowell,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Can't Buy Me Love,1987,6.8,Steve Rash,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
All the Boys Love Mandy Lane,2006,5.5,Jonathan Levine,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
For Love of the Game,1999,6.6,Sam Raimi,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love Happens,2009,5.6,Brandon Camp,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Must Love Dogs,2005,5.9,Gary David Goldberg,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
Love Story,1970,6.9,Arthur Hiller,https://www.imdb.com/title/tt1570728/videogallery/?ref_=tt_ql_pv_2
