,Release Date,Period End,Revenue2,Forecast_Revenue
1,2020-01-31,12/2019,36350.0,38960.0
2,2019-11-01,09/2019,36120.0,380.0
3,2019-08-02,06/2019,38850.0,40120.0
4,2019-04-26,03/2019,3520.0,38420.0
5,2019-02-01,12/2018,42350.0,42480.0
6,2018-11-02,09/2018,43990.0,46670.0
7,2018-07-27,06/2018,42240.0,45650.0
8,2018-04-27,03/2018,37760.0,40970.0
9,2018-02-02,12/2017,36570.0,37588.0
10,2017-10-27,09/2017,34090.0,34057.0
11,2017-07-28,06/2017,32760.0,32093.0
12,2017-04-28,03/2017,31360.0,33305.0
13,2017-01-27,12/2016,30220.0,31829.0
14,2016-10-28,09/2016,29180.0,30326.0
15,2016-07-29,06/2016,27990.0,28541.0
16,2016-04-29,03/2016,23100.0,21434.0
17,2016-01-29,12/2015,27800.0,28723.0
18,2015-10-30,09/2015,32560.0,30250.0
19,2015-07-31,06/2015,36860.0,30854.0
20,2015-05-01,03/2015,32440.0,22302.0
21,2015-01-30,12/2014,41670.0,30652.0
22,2014-10-31,09/2014,51740.0,58176.0
